100000,5,200040
100000,6,200040
100000,6,200040
200000,12,400042
200000,11,400042
200000,13,400042
300000,17,600044
300000,22,600044
300000,23,600044
400000,23,800044
400000,15,800044
400000,38,800044
500000,33,1000045
500000,30,1000045
500000,30,1000045
600000,37,1200046
600000,37,1200046
600000,50,1200046
700000,59,1400046
700000,48,1400046
700000,81,1400046
800000,65,1600046
800000,50,1600046
800000,55,1600046
900000,57,1800044
900000,58,1800044
900000,61,1800044
1000000,62,2000047
1000000,64,2000047
1000000,70,2000047
