100000,15,200040
100000,27,200040
100000,16,200040
200000,29,400042
200000,31,400042
200000,33,400042
300000,47,600044
300000,45,600044
300000,49,600044
400000,79,800044
400000,76,800044
400000,89,800044
500000,87,1000045
500000,90,1000045
500000,86,1000045
600000,146,1200046
600000,95,1200046
600000,87,1200046
700000,153,1400046
700000,126,1400046
700000,132,1400046
800000,141,1600046
800000,130,1600046
800000,130,1600046
900000,145,1800044
900000,143,1800044
900000,144,1800044
1000000,163,2000047
1000000,180,2000047
1000000,166,2000047
100000,7,200040
100000,5,200040
100000,4,200040
200000,11,400042
200000,0,400042
200000,11,400042
300000,16,600044
300000,16,600044
300000,19,600044
400000,21,800044
400000,21,800044
400000,22,800044
500000,29,1000045
500000,30,1000045
500000,29,1000045
600000,32,1200046
600000,32,1200046
600000,31,1200046
700000,40,1400046
700000,38,1400046
700000,39,1400046
800000,50,1600046
800000,53,1600046
800000,43,1600046
900000,57,1800044
900000,52,1800044
900000,50,1800044
1000000,85,2000047
1000000,65,2000047
1000000,57,2000047
100000,5,200040
100000,5,200040
100000,6,200040
200000,11,400042
200000,11,400042
200000,13,400042
300000,17,600044
300000,18,600044
300000,17,600044
400000,23,800044
400000,24,800044
400000,26,800044
500000,31,1000045
500000,32,1000045
500000,43,1000045
600000,39,1200046
600000,35,1200046
600000,40,1200046
700000,46,1400046
700000,44,1400046
700000,46,1400046
800000,50,1600046
800000,54,1600046
800000,48,1600046
900000,58,1800044
900000,58,1800044
900000,58,1800044
1000000,81,2000047
1000000,63,2000047
1000000,65,2000047
100000,5,200040
100000,5,200040
100000,5,200040
200000,17,400042
200000,12,400042
200000,11,400042
300000,16,600044
300000,16,600044
300000,16,600044
400000,22,800044
400000,21,800044
400000,21,800044
500000,27,1000045
500000,26,1000045
500000,29,1000045
600000,41,1200046
600000,33,1200046
600000,31,1200046
700000,41,1400046
700000,46,1400046
700000,42,1400046
800000,44,1600046
800000,47,1600046
800000,44,1600046
900000,54,1800044
900000,51,1800044
900000,54,1800044
1000000,64,2000047
1000000,58,2000047
1000000,57,2000047
100000,5,200040
100000,6,200040
100000,6,200040
200000,12,400042
200000,11,400042
200000,13,400042
300000,17,600044
300000,22,600044
300000,23,600044
400000,23,800044
400000,15,800044
400000,38,800044
500000,33,1000045
500000,30,1000045
500000,30,1000045
600000,37,1200046
600000,37,1200046
600000,50,1200046
700000,59,1400046
700000,48,1400046
700000,81,1400046
800000,65,1600046
800000,50,1600046
800000,55,1600046
900000,57,1800044
900000,58,1800044
900000,61,1800044
1000000,62,2000047
1000000,64,2000047
1000000,70,2000047
100000,16,200040
100000,21,200040
100000,13,200040
200000,28,400042
200000,28,400042
200000,28,400042
300000,46,600044
300000,49,600044
300000,47,600044
400000,68,800044
400000,57,800044
400000,59,800044
500000,73,1000045
500000,78,1000045
500000,84,1000045
600000,87,1200046
600000,90,1200046
600000,91,1200046
700000,108,1400046
700000,115,1400046
700000,104,1400046
800000,125,1600046
800000,128,1600046
800000,128,1600046
900000,151,1800044
900000,151,1800044
900000,143,1800044
1000000,169,2000047
1000000,155,2000047
1000000,156,2000047
