100000,16,200040
100000,21,200040
100000,13,200040
200000,28,400042
200000,28,400042
200000,28,400042
300000,46,600044
300000,49,600044
300000,47,600044
400000,68,800044
400000,57,800044
400000,59,800044
500000,73,1000045
500000,78,1000045
500000,84,1000045
600000,87,1200046
600000,90,1200046
600000,91,1200046
700000,108,1400046
700000,115,1400046
700000,104,1400046
800000,125,1600046
800000,128,1600046
800000,128,1600046
900000,151,1800044
900000,151,1800044
900000,143,1800044
1000000,169,2000047
1000000,155,2000047
1000000,156,2000047
