100000,7,200040
100000,5,200040
100000,4,200040
200000,11,400042
200000,0,400042
200000,11,400042
300000,16,600044
300000,16,600044
300000,19,600044
400000,21,800044
400000,21,800044
400000,22,800044
500000,29,1000045
500000,30,1000045
500000,29,1000045
600000,32,1200046
600000,32,1200046
600000,31,1200046
700000,40,1400046
700000,38,1400046
700000,39,1400046
800000,50,1600046
800000,53,1600046
800000,43,1600046
900000,57,1800044
900000,52,1800044
900000,50,1800044
1000000,85,2000047
1000000,65,2000047
1000000,57,2000047
