| 0 | 41 |
| 1 | 39 |
| 2 | 42 |
| 3 | 43 |
| 4 | 42 |
| 5 | 43 |
| 6 | 39 |
| 7 | 43 |
| 8 | 48 |
| 9 | 39 |
| 10 | 44 |
| 11 | 37 |
| 12 | 40 |
| 13 | 43 |
| 14 | 41 |
| 15 | 38 |
| 16 | 40 |
| 17 | 40 |
| 18 | 43 |
| 19 | 40 |
| 20 | 46 |
| 21 | 39 |
| 22 | 42 |
| 23 | 48 |
| 24 | 42 |
| 25 | 42 |
| 26 | 39 |
| 27 | 39 |
| 28 | 42 |
| 29 | 39 |
| 30 | 42 |
| 31 | 40 |
| 32 | 45 |
| 33 | 44 |
| 34 | 40 |
| 35 | 42 |
| 36 | 39 |
| 37 | 40 |
| 38 | 42 |
| 39 | 42 |
| 40 | 41 |
| 41 | 40 |
| 42 | 41 |
| 43 | 40 |
| 44 | 44 |
| 45 | 39 |
| 46 | 41 |
| 47 | 39 |
| 48 | 41 |
| 49 | 38 |
| 50 | 42 |
| 51 | 41 |
| 52 | 39 |
| 53 | 48 |
| 54 | 39 |
| 55 | 44 |
| 56 | 43 |
| 57 | 36 |
| 58 | 38 |
| 59 | 42 |
| 60 | 36 |
| 61 | 41 |
| 62 | 41 |
| 63 | 41 |
| 64 | 40 |
| 65 | 43 |
| 66 | 39 |
| 67 | 40 |
| 68 | 41 |
| 69 | 37 |
| 70 | 38 |
| 71 | 41 |
| 72 | 39 |
| 73 | 38 |
| 74 | 38 |
| 75 | 38 |
| 76 | 40 |
| 77 | 39 |
| 78 | 44 |
| 79 | 40 |
| 80 | 41 |
| 81 | 39 |
| 82 | 39 |
| 83 | 42 |
| 84 | 42 |
| 85 | 40 |
| 86 | 41 |
| 87 | 40 |
| 88 | 38 |
| 89 | 39 |
| 90 | 37 |
| 91 | 40 |
| 92 | 42 |
| 93 | 40 |
| 94 | 41 |
| 95 | 42 |
| 96 | 41 |
| 97 | 42 |
| 98 | 43 |
| 99 | 43 |
| 100 | 44 |
| 101 | 44 |
| 102 | 44 |
| 103 | 44 |
| 104 | 39 |
| 105 | 41 |
| 106 | 42 |
| 107 | 38 |
| 108 | 44 |
| 109 | 44 |
| 110 | 41 |
| 111 | 41 |
| 112 | 44 |
| 113 | 39 |
| 114 | 42 |
| 115 | 38 |
| 116 | 42 |
| 117 | 40 |
| 118 | 42 |
| 119 | 40 |
| 120 | 41 |
| 121 | 44 |
| 122 | 38 |
| 123 | 41 |
| 124 | 39 |
| 125 | 39 |
| 126 | 43 |
| 127 | 40 |
| 128 | 41 |
| 129 | 40 |
| 130 | 40 |
| 131 | 46 |
| 132 | 43 |
| 133 | 41 |
| 134 | 38 |
| 135 | 42 |
| 136 | 39 |
| 137 | 41 |
| 138 | 39 |
| 139 | 39 |
| 140 | 39 |
| 141 | 43 |
| 142 | 39 |
| 143 | 42 |
| 144 | 43 |
| 145 | 37 |
| 146 | 41 |
| 147 | 40 |
| 148 | 38 |
| 149 | 39 |
| 150 | 41 |
| 151 | 38 |
| 152 | 43 |
| 153 | 45 |
| 154 | 39 |
| 155 | 37 |
| 156 | 42 |
| 157 | 37 |
| 158 | 41 |
| 159 | 42 |
| 160 | 39 |
| 161 | 42 |
| 162 | 41 |
| 163 | 40 |
| 164 | 38 |
| 165 | 40 |
| 166 | 41 |
| 167 | 41 |
| 168 | 39 |
| 169 | 40 |
| 170 | 40 |
| 171 | 40 |
| 172 | 39 |
| 173 | 42 |
| 174 | 39 |
| 175 | 37 |
| 176 | 41 |
| 177 | 38 |
| 178 | 41 |
| 179 | 40 |
| 180 | 36 |
| 181 | 39 |
| 182 | 40 |
| 183 | 38 |
| 184 | 43 |
| 185 | 40 |
| 186 | 41 |
| 187 | 39 |
